id,city_id,coords,status,status_code,year
1,10:001,"29.9780388189645,60.0955649683594,15.8898942014202 29.9786943523628,60.0961759356301,15.8891778020188 29.9786966724602,60.0961786035813,15.8891752650961 29.9790156828825,60.0966747503412,15.8888266766444 29.9792995209743,60.0971360994981,15.8885165350512 29.9796010607281,60.0979167701169,15.8881871215999 29.979725092326,60.09852037107,15.8880516849458 29.979724762156,60.0991150361916,15.8880521701649 29.9796179389494,60.099777804809,15.888169051148 29.9791227984741,60.1007328948916,15.8887103488669 29.97874963145,60.101308803693,15.8891182662919 29.978676793244,60.1012959541562,15.8891978571191 29.9790585423021,60.1007050705321,15.8887805594131 29.9795462702171,60.0997749231851,15.8882473707199 29.9796529212628,60.0991135901362,15.8881306769326 29.9796532865081,60.0985222007277,15.8881301591173 29.9795299312023,60.0979220061911,15.8882648563012 29.9792297624542,60.0971447877534,15.8885927740484 29.9789470943435,60.0966855125395,15.8889016350731 29.9786294407859,60.0961914547266,15.8892487473786 29.9779757256154,60.0955821782718,15.8899631593376 29.9757972599642,60.093629362711,15.8923441767693 29.9758286596185,60.0936206263946,15.8923098566011 29.9758600592564,60.0936118898078,15.8922755382955 29.9780388189645,60.0955649683594,15.8898942014202",без признаков поражения,uninjured,2016.0
2,10:002  ,"29.9784787205443,60.1015482792171,15.8894143588841 29.9785301305845,60.1015654038616,15.889358186163 29.9779175598691,60.1021370168447,15.8900276925415 29.9771665920427,60.1028210939818,15.8908484438434 29.9765791457979,60.1033302055236,15.8914904585108 29.9765148770369,60.1033152166864,15.8915606820956 29.9771108982886,60.1027996893282,15.8909092973918 29.9778538299903,60.1021203881311,15.890097329393 29.9779659549172,60.1020177252271,15.889974784106 29.9782533872952,60.1017545742261,15.8896606378257 29.9784787205443,60.1015482792171,15.8894143588841",возникающий очаг,injured_emerging,2016.0
3,10:003,"29.7053139103295,60.196142863368,16.1874474128708 29.70240138142,60.1962381452769,16.1906256033108 29.7023990958927,60.1962202313017,16.1906282128766 29.702396809847,60.1962023165365,16.1906308196485 29.7053065406211,60.1961104259255,16.1874556597322 29.7053139103295,60.196142863368,16.1874474128708",без признаков поражения,uninjured,2016.0
4,11:003,"30.3421384807112,59.8323094174099,15.4901673309505 30.3387302461332,59.8341121017497,15.4939222196117 30.3387044123555,59.8340997257448,15.4939505569637 30.3386785796337,59.8340873489433,15.4939788933843 30.3420868150063,59.8322846659326,15.4902240000665 30.3421126486367,59.8322970420662,15.4901956645772 30.3421384807112,59.8323094174099,15.4901673309505",действующий очаг,injured_active,2009.0
5,11:005,"30.3258251358701,59.8500483511067,15.5081805661321 30.3254021443084,59.8500491762171,15.5086453100666 30.3253956025918,59.8500494129779,15.5086524980143 30.3253955736407,59.8500464466612,15.5086525166407 30.3253954273892,59.8500314617925,15.5086526032537 30.3253952521844,59.8500135103441,15.5086527103558 30.3258247850002,59.8500124484744,15.5081807775423 30.3258249604363,59.850030399922,15.5081806713715 30.3258251358701,59.8500483511067,15.5081805661321",действующий очаг,injured_active,2010.0
6,11:006,"30.3025891579824,59.8693329214833,15.5337950047106 30.3025893210328,59.8693508729178,15.533794910647 30.3025894840834,59.8693688243522,15.5337948109955 30.3024032443948,59.869369251912,15.533999347128 30.3024030814446,59.8693513004772,15.5339994430542 30.3024029184946,59.8693333490424,15.5339995408431 30.3025891579824,59.8693329214833,15.5337950047106",действующий очаг,injured_active,2010.0
7,11:007,"30.2997366573688,59.8677196004937,15.5369204953313 30.2997136775459,59.8677333382763,15.5369457965717 30.299690697704,59.8677470760548,15.5369710959494 30.2982904731176,59.8671548129194,15.5385063569993 30.2983134531299,59.8671410753838,15.5384810566902 30.2983364326003,59.8671273378453,15.5384557601064 30.2997366573688,59.8677196004937,15.5369204953313",действующий очаг,injured_active,2010.0
8,11:008,"30.3460815530218,59.8425329735673,15.4858858436346 30.3396658115721,59.8440279019239,15.4929432487115 30.339650824693,59.8440116106909,15.4929596306756 30.3396358357466,59.8439953202504,15.4929760182276 30.3460515722899,59.8425003941401,15.485918614082 30.346066563171,59.8425166838533,15.485902229324 30.3460815530218,59.8425329735673,15.4858858436346",действующий очаг,injured_active,2014.0
9,11:009,"30.3650555697803,59.8441825860935,15.4650481212884 30.3650484869346,59.8442001806169,15.4650560067967 30.3650414035475,59.8442177740897,15.4650638960302 30.3644510475227,59.8441575883735,15.4657121151686 30.3644581306834,59.8441399946706,15.4657042296603 30.3644652143505,59.844122400177,15.4656963413581 30.3650555697803,59.8441825860935,15.4650481212884",возникающий очаг,injured_emerging,2010.0
10,11:010,"30.3667849566395,59.8449441464968,15.4631527801976 30.3664273180126,59.8453803347201,15.4635483045131 30.3663943390458,59.8453734879675,15.4635844929144 30.3663613595729,59.845366641471,15.463620682247 30.3667190004759,59.844930452632,15.4632251551375 30.3667519780342,59.8449373000958,15.4631889667362 30.3667849566395,59.8449441464968,15.4631527801976",возникающий очаг,injured_emerging,2010.0
